	MH1	MH2	MH3	MH4	MH5	MWS.H1	MWS.H2	MWS.H3	MWS.H4	MWS.H5	MWS1	MWS2	MWS3	MWS4	MWS5
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__uncultured;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008290040897535095	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;__;__	0.0	0.0	0.0	0.0	0.0	0.000642861317281281	0.00010185892538833715	0.0	0.0	0.0006365912659678309	0.02554902567274977	0.02615763264838876	0.012580771490111612	0.00436608820603515	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__NS9 marine group;D_5__uncultured bacterium;D_6__uncultured bacterium	0.0	0.0	0.0	0.0	0.002801850524532482	0.0	0.0	0.0	0.0	0.0	0.0	0.0008585656230324538	0.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__NS9 marine group;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002461221452693034	0.0002447620912473076	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Weeksellaceae;D_5__Chryseobacterium;__	0.0	0.0	0.0028315946348733234	0.0021164595430618115	0.0	0.0	0.0	0.0014462120369340304	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Weeksellaceae;D_5__Cloacibacterium;D_6__uncultured bacterium	0.0	0.0	0.0035767511177347243	0.014978021381668205	0.0	0.0	0.0	0.02430748692846813	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Weeksellaceae;D_5__Ornithobacterium;D_6__uncultured bacterium	0.0	0.0	0.0	0.001682313995767081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Weeksellaceae;__;__	0.00011750881316098707	0.0	0.0	0.018776794920497098	0.0	0.0	0.0	0.01223717877405718	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;__;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000989792762140427	0.002346746036288707	0.0005874290189935383	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__Lentimicrobiaceae;D_5__uncultured bacterium;D_6__uncultured bacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006296147902237994	0.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__Sphingobacteriaceae;D_5__Pedobacter;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018912003559906551	0.0	0.0	0.0	0.0	0.0	0.0016027412401901182	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__Sphingobacteriaceae;D_5__Sphingobacterium;D_6__uncultured bacterium	0.0	0.0	0.002309985096870343	0.0	0.0	0.0	0.0	0.0012793414172877961	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__Sphingobacteriaceae;D_5__Sphingobacterium;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008899766381132495	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;__;__;__;__	0.0	0.0	0.0	0.0	0.0014335049195282465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006632032718028076	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Ignavibacteria;D_3__Ignavibacteriales;D_4__Melioribacteraceae;D_5__IheB3-7;D_6__uncultured bacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011748580379870766	0.0	0.0
D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__Anaerolineales;D_4__Anaerolineaceae;D_5__uncultured;D_6__uncultured bacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010568472577594838	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__Ardenticatenales;D_4__uncultured;D_5__uncultured bacterium;D_6__uncultured bacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006174212926910669	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Chloroflexi;D_2__KD4-96;D_3__uncultured bacterium;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016130826565802648	0.0	0.0	0.0	0.0006296147902237994	0.0	0.0	0.0016519584402034516
